tic,hedge_volume,unit_hedgevol,datadate,product,maturity_year,daily_volume,volume_ann_multiplier,index,file_header,row_num,maturity_year_old,product_type,instrument,volume_hedge_new,unit_hedge,price1_new,price1_name,price2_new,price2_name,price3_new,price3_name,fair_value_new,any_odd_thing_new,idnum,price4_new,price4_name,fair_valueinmillions_new,volume_num_orig,filedate_str,hedge_unit_multiplier,thousand_correction,gas_dummy,unit_hedge_orig,maturity_temp
APA,1699.8069,mmcf,01mar2007,gas,2007,,1,10,APA20070301,6,2007,gas,gas fixed price swap,1761000,(mmbtu/bbl),$5.46|5.71,fixed price range,5.57,average fixed price,,,"$(1,722",,1, , ,,1761000,20070301,.00096525095,1,1,mmbtu,2007
APA,22900.578,mmcf,01mar2007,gas,2007,,1,11,APA20070301,7,2007,gas,gas collars (pepl),23725000,mmbtu,$6.85|7.00, floor price range,$9.52|10.15, ceiling price range,$6.88/9.67,weighted average floor/ceiling,26929,,1, , ,,23725000,20070301,.00096525095,1,1,mmbtu,2007
APA,4458,mbbl,01mar2007,oil,2007,,1,12,APA20070301,7,2007,oil,swap oil fixed price swap,4458000,(mmbtu/bbl),$36.78|73.26,fixed price range,70.29,average fixed price,,,22931,,1, , ,,4458000,20070301,.001,1,0,bbl,2007
APA,3339.9614,mmcf,01mar2007,gas,2007,,1,13,APA20070301,8,2007,gas,gas collars (aeco),3650000,gj,$6.24|6.24, floor price range,$8.15|8.15, ceiling price range,$6.24/8.15,weighted average floor/ceiling,3004,,1, , ,,3650000,20070301,.0009150579,1,1,gj,2007
APA,4392,mbbl,01mar2007,oil,2008,,1,14,APA20070301,8,2008,oil,oil fixed price swap,4392000,(mmbtu/bbl),$66.85|70.90,fixed price range,69.21,average fixed price,,,7131,,1, , ,,4392000,20070301,.001,1,0,bbl,2008
APA,6473.5005,mbbl,01mar2007,oil,2007,,1,15,APA20070301,9,2007,oil,oil collars (nymex),6473500,bbl,$33.00|75.00, floor price range,$39.25|85.00, ceiling price range,$59.78/70.62,weighted average floor/ceiling,"$(12,102",,1, , ,,6473500,20070301,.001,1,0,bbl,2007
APA,24729.729,mmcf,01mar2007,gas,2008,,1,16,APA20070301,10,2008,gas,gas collars (nymex),25620000,mmbtu,$7.50|8.15, floor price range,$10.47|10.80, ceiling price range,$7.96/10.56,weighted average floor/ceiling,14236,,1, , ,,25620000,20070301,.00096525095,1,1,mmbtu,2008
APA,22963.32,mmcf,01mar2007,gas,2008,,1,17,APA20070301,11,2008,gas,gas collars (pepl),23790000,mmbtu,$6.90|7.00, floor price range,$9.55|10.05, ceiling price range,$6.91/9.74,weighted average floor/ceiling,13251,,1, , ,,23790000,20070301,.00096525095,1,1,mmbtu,2008
APA,3349.1118,mmcf,01mar2007,gas,2008,,1,18,APA20070301,12,2008,gas,gas collars (aeco),3660000,gj,$6.24|6.24, floor price range,$8.13|8.13, ceiling price range,$6.24/8.13,weighted average floor/ceiling,674,,1, , ,,3660000,20070301,.0009150579,1,1,gj,2008
APA,4575,mbbl,01mar2007,oil,2008,,1,19,APA20070301,13,2008,oil,oil collars (nymex),4575000,bbl,$69.00|69.00, floor price range,$79.65|81.50, ceiling price range,$69.00/80.39,weighted average floor/ceiling,22213,,1, , ,,4575000,20070301,.001,1,0,bbl,2008
APA,86554.055,mmcf,29feb2008,gas,2008,,1,20,APA20080229,5,2008,gas,us gas collars,89670000,mmbtu,$7.24/10.28,weighted average floor/ceiling,,,,,36029,,1, , ,,89670000,20080229,.00096525095,1,1,mmbtu,2008
APA,30142.008,mmcf,29feb2008,gas,2008,,1,21,APA20080229,6,2008,gas,canadian gas collars,32940000,gj,$6.66/10.44,weighted average floor/ceiling,,,,,19859,,1, , ,,32940000,20080229,.0009150579,1,1,gj,2008
APA,12261.001,mbbl,29feb2008,oil,2008,,1,22,APA20080229,7,2008,oil,oil collars,12261000,bbl,$63.18/76.47,weighted average floor/ceiling,,,,,"$(217,201",,1, , ,,12261000,20080229,.001,1,0,bbl,2008
APA,14092.664,mmcf,29feb2008,gas,2009,,1,23,APA20080229,8,2009,gas,us gas collars,14600000,mmbtu,$7.06/9.91,weighted average floor/ceiling,,,,,"$(4,418",,1, , ,,14600000,20080229,.00096525095,1,1,mmbtu,2009
APA,26719.691,mmcf,29feb2008,gas,2009,,1,24,APA20080229,9,2009,gas,canadian gas collars,29200000,gj,$6.58/10.22,weighted average floor/ceiling,,,,,6865,,1, , ,,29200000,20080229,.0009150579,1,1,gj,2009
APA,7861.0005,mbbl,29feb2008,oil,2009,,1,25,APA20080229,10,2009,oil,oil collars,7861000,bbl,$59.38/72.65,weighted average floor/ceiling,,,,,"$(131,727",,1, , ,,7861000,20080229,.001,1,0,bbl,2009
APA,1303.0887,mmcf,29feb2008,gas,2010,,1,26,APA20080229,11,2010,gas,us gas collars,1350000,mmbtu,$7.17/10.58,weighted average floor/ceiling,,,,,$(612,,1, , ,,1350000,20080229,.00096525095,1,1,mmbtu,2010
APA,5464.0005,mbbl,29feb2008,oil,2010,,1,27,APA20080229,12,2010,oil,oil collars,5464000,bbl,$61.15/75.10,weighted average floor/ceiling,,,,,"$(72,270",,1, , ,,5464000,20080229,.001,1,0,bbl,2010
APA,2917.0002,mbbl,29feb2008,oil,2011,,1,28,APA20080229,13,2011,oil,oil collars,2917000,bbl,$63.12/76.42,weighted average floor/ceiling,,,,,"$(33,509",,1, , ,,2917000,20080229,.001,1,0,bbl,2011
APA,910.00006,mbbl,29feb2008,oil,2012,,1,29,APA20080229,14,2012,oil,oil collars,910000,bbl,$64.00/76.55,weighted average floor/ceiling,,,,,"$(9,939",,1, , ,,910000,20080229,.001,1,0,bbl,2012
APA,368,mbbl,02mar2009,oil,2009,,1,30,APA20090302,6,2009,oil,fixed-price swaps,368,mbbls,67.95,weighted average fixed price(1),,,,,,,1, , ,,368,20090302,1,1,0,mbbl,2009
APA,2018,mbbl,02mar2009,oil,2010,,1,31,APA20090302,7,2010,oil,fixed-price swaps,2018,mbbls,70.87,weighted average fixed price(1),,,,,,,1, , ,,2018,20090302,1,1,0,mbbl,2010
APA,3285,mbbl,02mar2009,oil,2011,,1,32,APA20090302,8,2011,oil,fixed-price swaps,3285,mbbls,71.16,weighted average fixed price(1),,,,,,,1, , ,,3285,20090302,1,1,0,mbbl,2011
APA,2926,mbbl,02mar2009,oil,2012,,1,33,APA20090302,9,2012,oil,fixed-price swaps,2926,mbbls,71.34,weighted average fixed price(1),,,,,,,1, , ,,2926,20090302,1,1,0,mbbl,2012
APA,1086,mbbl,02mar2009,oil,2013,,1,34,APA20090302,10,2013,oil,fixed-price swaps,1086,mbbls,71.34,weighted average fixed price(1),,,,,,,1, , ,,1086,20090302,1,1,0,mbbl,2013
APA,9321,mbbl,02mar2009,oil,2009,,1,35,APA20090302,,2009,oil,collars,9321,mbbls,63.39,weighted average floor price(1),80.14,weighted average ceiling price(1),,,,,1, , ,,9321,20090302,1,1,0,mbbl,2009
APA,6016,mbbl,02mar2009,oil,2010,,1,36,APA20090302,,2010,oil,collars,6016,mbbls,62.11,weighted average floor price(1),77.44,weighted average ceiling price(1),,,,,1, , ,,6016,20090302,1,1,0,mbbl,2010
APA,4377,mbbl,02mar2009,oil,2011,,1,37,APA20090302,,2011,oil,collars,4377,mbbls,65.83,weighted average floor price(1),84.41,weighted average ceiling price(1),,,,,1, , ,,4377,20090302,1,1,0,mbbl,2011
APA,1456,mbbl,02mar2009,oil,2012,,1,38,APA20090302,,2012,oil,collars,1456,mbbls,66.88,weighted average floor price(1),85.52,weighted average ceiling price(1),,,,,1, , ,,1456,20090302,1,1,0,mbbl,2012
APA,368,mbbl,02mar2009,oil,2010,,1,39,APA20090302,,2010,oil,call options,368,mbbls,129.5,weighted average strike price(1),,,,,,,1, , ,,368,20090302,1,1,0,mbbl,2010
APA,1095,mbbl,02mar2009,oil,2011,,1,40,APA20090302,,2011,oil,call options,1095,mbbls,134.17,weighted average strike price(1),,,,,,,1, , ,,1095,20090302,1,1,0,mbbl,2011
APA,364,mbbl,02mar2009,oil,2012,,1,41,APA20090302,,2012,oil,call options,364,mbbls,138,weighted average strike price(1),,,,,,,1, , ,,364,20090302,1,1,0,mbbl,2012
APA,17615.83,mmcf,02mar2009,gas,2009,,1,42,APA20090302,,2009,natural gas,collars,18250,000 mmbtu,7.35,weighted average floor price(1),10.19,weighted average ceiling price(1),,,,,1, , ,,18250,20090302,.00096525095,1000,1,mmbtu,2009
APA,26719.691,mmcf,02mar2009,gas,2009,,1,43,APA20090302,,2009,natural gas,collars,29200,000 gj,5.31,weighted average floor price(1),8.25,weighted average ceiling price(1),,,,,1, , ,,29200,20090302,.0009150579,1000,1,gj,2009
APA,1303.0887,mmcf,02mar2009,gas,2010,,1,44,APA20090302,,2010,natural gas,collars,1350,000 mmbtu,7.17,weighted average floor price(1),10.58,weighted average ceiling price(1),,,,,1, , ,,1350,20090302,.00096525095,1000,1,mmbtu,2010
APA,2383,mbbl,26feb2010,oil,2010,,1,45,APA20100226,6,2010,oil,fixed-price swaps,2383,mbbls,68.71,weighted average fixed price(1),,,,,,,1, , ,,2383,20100226,1,1,0,mbbl,2010
APA,3650,mbbl,26feb2010,oil,2011,,1,46,APA20100226,7,2011,oil,fixed-price swaps,3650,mbbls,70.12,weighted average fixed price(1),,,,,,,1, , ,,3650,20100226,1,1,0,mbbl,2011
APA,3292,mbbl,26feb2010,oil,2012,,1,47,APA20100226,8,2012,oil,fixed-price swaps,3292,mbbls,70.99,weighted average fixed price(1),,,,,,,1, , ,,3292,20100226,1,1,0,mbbl,2012
APA,1451,mbbl,26feb2010,oil,2013,,1,48,APA20100226,9,2013,oil,fixed-price swaps,1451,mbbls,72.01,weighted average fixed price(1),,,,,,,1, , ,,1451,20100226,1,1,0,mbbl,2013
APA,76,mbbl,26feb2010,oil,2014,,1,49,APA20100226,10,2014,oil,fixed-price swaps,76,mbbls,74.5,weighted average fixed price(1),,,,,,,1, , ,,76,20100226,1,1,0,mbbl,2014
APA,10396,mbbl,26feb2010,oil,2010,,1,50,APA20100226,,2010,oil,collars,10396,mbbls,65.01,weighted average floor price(1),80.84,weighted average ceiling price(1),,,,,1, , ,,10396,20100226,1,1,0,mbbl,2010
APA,6202,mbbl,26feb2010,oil,2011,,1,51,APA20100226,,2011,oil,collars,6202,mbbls,66.24,weighted average floor price(1),87.04,weighted average ceiling price(1),,,,,1, , ,,6202,20100226,1,1,0,mbbl,2011
APA,2554,mbbl,26feb2010,oil,2012,,1,52,APA20100226,,2012,oil,collars,2554,mbbls,66.07,weighted average floor price(1),89.13,weighted average ceiling price(1),,,,,1, , ,,2554,20100226,1,1,0,mbbl,2012
APA,79271.234,mmcf,26feb2010,gas,2010,,1,53,APA20100226,7,2010,natural gas,fixed-price swaps,82125,000 mmbtu,5.81,weighted average fixed price(1),,,,,,,1, , ,,82125,20100226,.00096525095,1000,1,mmbtu,2010
APA,50099.422,mmcf,26feb2010,gas,2010,,1,54,APA20100226,8,2010,natural gas,fixed-price swaps,54750,000 gj,5.37,weighted average fixed price(1),,,,,,,1, , ,,54750,20100226,.0009150579,1000,1,gj,2010
APA,9689.1895,mmcf,26feb2010,gas,2011,,1,55,APA20100226,9,2011,natural gas,fixed-price swaps,10038,000 mmbtu,6.61,weighted average fixed price(1),,,,,,,1, , ,,10038,20100226,.00096525095,1000,1,mmbtu,2011
APA,21709.748,mmcf,26feb2010,gas,2011,,1,56,APA20100226,10,2011,natural gas,fixed-price swaps,23725,000 gj,6.75,weighted average fixed price(1),,,,,,,1, , ,,23725,20100226,.0009150579,1000,1,gj,2011
APA,2649.6138,mmcf,26feb2010,gas,2012,,1,57,APA20100226,11,2012,natural gas,fixed-price swaps,2745,000 mmbtu,6.73,weighted average fixed price(1),,,,,,,1, , ,,2745,20100226,.00096525095,1000,1,mmbtu,2012
APA,26792.895,mmcf,26feb2010,gas,2012,,1,58,APA20100226,12,2012,natural gas,fixed-price swaps,29280,000 gj,6.95,weighted average fixed price(1),,,,,,,1, , ,,29280,20100226,.0009150579,1000,1,gj,2012
APA,1761.583,mmcf,26feb2010,gas,2013,,1,59,APA20100226,13,2013,natural gas,fixed-price swaps,1825,000 mmbtu,7.05,weighted average fixed price(1),,,,,,,1, , ,,1825,20100226,.00096525095,1000,1,mmbtu,2013
APA,728.76447,mmcf,26feb2010,gas,2014,,1,60,APA20100226,14,2014,natural gas,fixed-price swaps,755,000 mmbtu,7.23,weighted average fixed price(1),,,,,,,1, , ,,755,20100226,.00096525095,1000,1,mmbtu,2014
APA,29488.416,mmcf,26feb2010,gas,2010,,1,61,APA20100226,,2010,natural gas,collars,30550,000 mmbtu,5.48,weighted average floor price(1),7.07,weighted average ceiling price(1),,,,,1, , ,,30550,20100226,.00096525095,1000,1,mmbtu,2010
APA,8807.915,mmcf,26feb2010,gas,2011,,1,62,APA20100226,,2011,natural gas,collars,9125,000 mmbtu,5,weighted average floor price(1),8.85,weighted average ceiling price(1),,,,,1, , ,,9125,20100226,.00096525095,1000,1,mmbtu,2011
APA,3339.9614,mmcf,26feb2010,gas,2011,,1,63,APA20100226,,2011,natural gas,collars,3650,000 gj,6.5,weighted average floor price(1),7.1,weighted average ceiling price(1),,,,,1, , ,,3650,20100226,.0009150579,1000,1,gj,2011
APA,10598.455,mmcf,26feb2010,gas,2012,,1,64,APA20100226,,2012,natural gas,collars,10980,000 mmbtu,5.75,weighted average floor price(1),8.43,weighted average ceiling price(1),,,,,1, , ,,10980,20100226,.00096525095,1000,1,mmbtu,2012
APA,6698.2236,mmcf,26feb2010,gas,2012,,1,65,APA20100226,,2012,natural gas,collars,7320,000 gj,6.5,weighted average floor price(1),7.27,weighted average ceiling price(1),,,,,1, , ,,7320,20100226,.0009150579,1000,1,gj,2012
APA,40516.41,mmcf,26feb2010,gas,2010,,1,66,APA20100226,,2010,natural gas,basis swap,41975,000 mmbtu,$(0.54,weighted average price differential(1),,,,,,,1, , ,,41975,20100226,.00096525095,1000,1,mmbtu,2010
APA,5628,mbbl,28feb2011,oil,2011,,1,67,APA20110228,6,2011,oil,fixed-price swaps,5628,mbbls,73.36,weighted average fixed price(1),,,,,,,1, , ,,5628,20110228,1,1,0,mbbl,2011
APA,3786,mbbl,28feb2011,oil,2012,,1,68,APA20110228,7,2012,oil,fixed-price swaps,3786,mbbls,72.26,weighted average fixed price(1),,,,,,,1, , ,,3786,20110228,1,1,0,mbbl,2012
APA,1860,mbbl,28feb2011,oil,2013,,1,69,APA20110228,8,2013,oil,fixed-price swaps,1860,mbbls,74.38,weighted average fixed price(1),,,,,,,1, , ,,1860,20110228,1,1,0,mbbl,2013
APA,76,mbbl,28feb2011,oil,2014,,1,70,APA20110228,9,2014,oil,fixed-price swaps,76,mbbls,74.5,weighted average fixed price(1),,,,,,,1, , ,,76,20110228,1,1,0,mbbl,2014
APA,30110,mbbl,28feb2011,oil,2011,,1,71,APA20110228,,2011,oil,collars,30110,mbbls,69.13,weighted average floor price(1),96.59,weighted average ceiling price(1),,,,,1, , ,,30110,20110228,1,1,0,mbbl,2011
APA,9142,mbbl,28feb2011,oil,2012,,1,72,APA20110228,,2012,oil,collars,9142,mbbls,69.3,weighted average floor price(1),98.11,weighted average ceiling price(1),,,,,1, , ,,9142,20110228,1,1,0,mbbl,2012
APA,2416,mbbl,28feb2011,oil,2013,,1,73,APA20110228,,2013,oil,collars,2416,mbbls,78.02,weighted average floor price(1),103.06,weighted average ceiling price(1),,,,,1, , ,,2416,20110228,1,1,0,mbbl,2013
APA,73288.609,mmcf,28feb2011,gas,2011,,1,74,APA20110228,7,2011,natural gas,fixed-price swaps,75927,000 mmbtu,6,weighted average fixed price(1),,,,,,,1, , ,,75927,20110228,.00096525095,1000,1,mmbtu,2011
APA,8807.915,mmcf,28feb2011,gas,2011,,1,75,APA20110228,7,2011,natural gas,collars,9125,000 mmbtu,5,weighted average floor price(1),8.85,weighted average ceiling price(1),,,,,1, , ,,9125,20110228,.00096525095,1000,1,mmbtu,2011
APA,46759.457,mmcf,28feb2011,gas,2011,,1,76,APA20110228,8,2011,natural gas,fixed-price swaps,51100,000 gj,c$6.26,weighted average fixed price(1),,,,,,,1, , ,,51100,20110228,.0009150579,1000,1,gj,2011
APA,3339.9614,mmcf,28feb2011,gas,2011,,1,77,APA20110228,8,2011,natural gas,collars,3650,000 gj,c$6.50,weighted average floor price(1),c$7.10,weighted average ceiling price(1),,,,,1, , ,,3650,20110228,.0009150579,1000,1,gj,2011
APA,40110.039,mmcf,28feb2011,gas,2012,,1,78,APA20110228,9,2012,natural gas,fixed-price swaps,41554,000 mmbtu,6.3,weighted average fixed price(1),,,,,,,1, , ,,41554,20110228,.00096525095,1000,1,mmbtu,2012
APA,21196.91,mmcf,28feb2011,gas,2012,,1,79,APA20110228,9,2012,natural gas,collars,21960,000 mmbtu,5.54,weighted average floor price(1),7.3,weighted average ceiling price(1),,,,,1, , ,,21960,20110228,.00096525095,1000,1,mmbtu,2012
APA,40189.344,mmcf,28feb2011,gas,2012,,1,80,APA20110228,10,2012,natural gas,fixed-price swaps,43920,000 gj,c$6.61,weighted average fixed price(1),,,,,,,1, , ,,43920,20110228,.0009150579,1000,1,gj,2012
APA,6698.2236,mmcf,28feb2011,gas,2012,,1,81,APA20110228,10,2012,natural gas,collars,7320,000 gj,c$6.50,weighted average floor price(1),c$7.27,weighted average ceiling price(1),,,,,1, , ,,7320,20110228,.0009150579,1000,1,gj,2012
APA,7398.6484,mmcf,28feb2011,gas,2013,,1,82,APA20110228,11,2013,natural gas,fixed-price swaps,7665,000 mmbtu,6.83,weighted average fixed price(1),,,,,,,1, , ,,7665,20110228,.00096525095,1000,1,mmbtu,2013
APA,6587.8379,mmcf,28feb2011,gas,2013,,1,83,APA20110228,11,2013,natural gas,collars,6825,000 mmbtu,5.35,weighted average floor price(1),6.67,weighted average ceiling price(1),,,,,1, , ,,6825,20110228,.00096525095,1000,1,mmbtu,2013
APA,728.76447,mmcf,28feb2011,gas,2014,,1,84,APA20110228,12,2014,natural gas,fixed-price swaps,755,000 mmbtu,7.23,weighted average fixed price(1),,,,,,,1, , ,,755,20110228,.00096525095,1000,1,mmbtu,2014
APA,4110,mbbl,29feb2012,oil,2012,,1,85,APA20120229,3,2012,oil,fixed-price swaps,4110,mbbls,73.4,weighted average fixed price(1),,,,,,,1, , ,,4110,20120229,1,1,0,mbbl,2012
APA,12628,mbbl,29feb2012,oil,2012,,1,86,APA20120229,3,2012,oil,collars,12628,mbbls,76.42,weighted average floor price(1),101.06,weighted average ceiling price(1),,,,,1, , ,,12628,20120229,1,1,0,mbbl,2012
APA,1972,mbbl,29feb2012,oil,2013,,1,87,APA20120229,4,2013,oil,fixed-price swaps,1972,mbbls,74.29,weighted average fixed price(1),,,,,,,1, , ,,1972,20120229,1,1,0,mbbl,2013
APA,4350,mbbl,29feb2012,oil,2013,,1,88,APA20120229,4,2013,oil,collars,4350,mbbls,82.17,weighted average floor price(1),108.33,weighted average ceiling price(1),,,,,1, , ,,4350,20120229,1,1,0,mbbl,2013
APA,76,mbbl,29feb2012,oil,2014,,1,89,APA20120229,5,2014,oil,fixed-price swaps,76,mbbls,74.5,weighted average fixed price(1),,,,,,,1, , ,,76,20120229,1,1,0,mbbl,2014
APA,46668.918,mmcf,29feb2012,gas,2012,,1,90,APA20120229,3,2012,natural gas,fixed-price swaps,48349,mmbtu(in 000 s),6.22,weighted average fixed price(1),,,,,,,1, , ,,48349,20120229,.00096525095,1000,1,mmbtu,2012
APA,21196.91,mmcf,29feb2012,gas,2012,,1,91,APA20120229,3,2012,natural gas,collars,21960,mmbtu(in 000 s),5.54,weighted average floor price(1),7.3,weighted average ceiling price(1),,,,,1, , ,,21960,20120229,.00096525095,1000,1,mmbtu,2012
APA,40189.344,mmcf,29feb2012,gas,2012,,1,92,APA20120229,4,2012,natural gas,fixed-price swaps,43920,gj(in 000 s),c$6.61,weighted average fixed price(1),,,,,,,1, , ,,43920,20120229,.0009150579,1000,1,gj,2012
APA,7065.6367,mmcf,29feb2012,gas,2012,,1,93,APA20120229,4,2012,natural gas,collars,7320,mmbtu(in 000 s),c$6.50,weighted average floor price(1),c$7.27,weighted average ceiling price(1),,,,,1, , ,,7320,20120229,.00096525095,1000,1,mmbtu,2012
APA,9744.208,mmcf,29feb2012,gas,2013,,1,94,APA20120229,5,2013,natural gas,fixed-price swaps,10095,mmbtu(in 000 s),6.74,weighted average fixed price(1),,,,,,,1, , ,,10095,20120229,.00096525095,1000,1,mmbtu,2013
APA,6587.8379,mmcf,29feb2012,gas,2013,,1,95,APA20120229,5,2013,natural gas,collars,6825,mmbtu(in 000 s),5.35,weighted average floor price(1),6.67,weighted average ceiling price(1),,,,,1, , ,,6825,20120229,.00096525095,1000,1,mmbtu,2013
APA,1250,mmcf,29feb2012,gas,2014,,1,96,APA20120229,6,2014,natural gas,fixed-price swaps,1295,mmbtu(in 000 s),6.72,weighted average fixed price(1),,,,,,,1, , ,,1295,20120229,.00096525095,1000,1,mmbtu,2014
APA,40292,mbbl,01mar2013,oil,2013,,1,97,APA20130301,3,2013,oil,fixed-price swaps,40292,mbbls,97.31,weighted average fixed price(1),,,,,,,1, , ,,40292,20130301,1,1,0,mbbl,2013
APA,5701,mbbl,01mar2013,oil,2013,,1,98,APA20130301,3,2013,oil,collars,5701,mbbls,82.84,weighted average floor price(1),111.63,weighted average ceiling price(1),,,,,1, , ,,5701,20130301,1,1,0,mbbl,2013
APA,76,mbbl,01mar2013,oil,2014,,1,99,APA20130301,4,2014,oil,fixed-price swaps,76,mbbls,74.5,weighted average fixed price(1),,,,,,,1, , ,,76,20130301,1,1,0,mbbl,2014
APA,9744.208,mmcf,01mar2013,gas,2013,,1,100,APA20130301,3,2013,natural gas,fixed-price swaps,10095,mmbtu(in 000 s),6.74,weighted average fixed price(1),,,,,,,1, , ,,10095,20130301,.00096525095,1000,1,mmbtu,2013
APA,6587.8379,mmcf,01mar2013,gas,2013,,1,101,APA20130301,3,2013,natural gas,collars,6825,mmbtu(in 000 s),5.35,weighted average floor price(1),6.67,weighted average ceiling price(1),,,,,1, , ,,6825,20130301,.00096525095,1000,1,mmbtu,2013
APA,1250,mmcf,01mar2013,gas,2014,,1,102,APA20130301,4,2014,natural gas,fixed-price swaps,1295,mmbtu(in 000 s),6.72,weighted average fixed price(1),,,,,,,1, , ,,1295,20130301,.00096525095,1000,1,mmbtu,2014
APA,22889,mbbl,28feb2014,oil,2014,,1,103,APA20140228,3,2014,oil,fixed-price swaps,22889,mbbls,90.77,weighted average fixed price(1),,,,,,nymex wti,1, , ,,22889,20140228,1,1,0,mbbl,2014
APA,22812,mbbl,28feb2014,oil,2014,,1,104,APA20140228,4,2014,oil,fixed-price swaps,22812,mbbls,100.05,weighted average fixed price(1),,,,,,dated brent,1, , ,,22812,20140228,1,1,0,mbbl,2014
APA,1250,mmcf,28feb2014,gas,2014,,1,105,APA20140228,3,2014,natural gas,fixed-price swaps,1295,mmbtu(in 000 s),6.72,weighted average fixed price(1),,,,,,nymex henry hub,1, , ,,1295,20140228,.00096525095,1000,1,mmbtu,2014
APC,26,mbbl,04mar2004,oil,2004,1,365,106,APC20040304,,2004,crude oil,fixed price (mbbls/d),26,mbbls,27.22,nymex price per barrel,.,,.,,.,.,2,.,.,,26,20040304,1,1,0,mbbl,2004
APC,38,mbbl,04mar2004,oil,2004,1,365,107,APC20040304,,2004,crude oil,three-way collars (mbbls/d),38,mbbls,20.13,floor sold price,24.61,floor purchased price,30,ceiling sold price,.,.,2,.,.,,38,20040304,1,1,0,mbbl,2004
APC,3,mbbl,04mar2004,oil,2004,1,365,108,APC20040304,,2004,crude oil,two-way collars (mbbls/d),3,mbbls,22,floor purchased price,26.32,ceiling sold price,.,,.,.,2,.,.,,3,20040304,1,1,0,mbbl,2004
APC,2,mbbl,04mar2004,oil,2005,1,365,109,APC20040304,,2005,crude oil,two-way collars (mbbls/d),2,mbbls,22,floor purchased price,26.32,ceiling sold price,.,,.,.,2,.,.,,2,20040304,1,1,0,mbbl,2005
APC,190.15443,mmcf,04mar2004,gas,2004,1,365,110,APC20040304,,2004,natural gas,basis swaps (thousand mmbtu/d),197,thousand mmbtu,$(0.13,price per mmbtu,.,,.,,.,.,2,.,.,,197,20040304,.00096525095,1000,1,mmbtu,2004
APC,51.158298,mmcf,04mar2004,gas,2005,1,365,111,APC20040304,,2005,natural gas,basis swaps (thousand mmbtu/d),53,thousand mmbtu,$(0.22,price per mmbtu,.,,.,,.,.,2,.,.,,53,20040304,.00096525095,1000,1,mmbtu,2005
APC,250,mmcf,04mar2004,gas,2004,1,365,112,APC20040304,,2004,natural gas,fixed price (thousand mmbtu/d),259,thousand mmbtu,3.86,nymex price per mmbtu,.,,.,,.,.,2,.,.,,259,20040304,.00096525095,1000,1,mmbtu,2004
