doc_id,ticker,datetime_1,datetime_1_type,additional,instrument_type,product_type,vol_1,vol_1_type,vol_2,vol_2_type,vol_3,vol_3_type,vol_4,vol_4_type
APC20040304,APC,2004,,,,Natural Gas,319000,,,,,,,
APC20040304,APC,2004,,,,Natural Gas,44000,,,,,,,
APC20040304,APC,2004,,,,Natural Gas,259000,,,,,,,
APC20040304,APC,2004,,,,Natural Gas,197000,,,,,,,
APC20040304,APC,2004,,,,Crude Oil,38000,,,,,,,
APC20040304,APC,2004,,,,Crude Oil,3000,,,,,,,
APC20040304,APC,2004,,,,Crude Oil,26000,,,,,,,
APC20050315,APC,2005,,,,Natural Gas,26000,,,,,,,
APC20050315,APC,2005,,,,Natural Gas,269000,,,,,,,
APC20050315,APC,2005,,,,Natural Gas,21000,,,,,,,
APC20050315,APC,2005,,,,Natural Gas,141000,,,,,,,
APC20050315,APC,2005,,,,Crude Oil,2000,,,,,,,
APC20050315,APC,2005,,,,Crude Oil,43000,,,,,,,
APC20070228,APC,2007,,,,Natural Gas,30000,,,,,,,
APC20070228,APC,2007,,,,Natural Gas,386000,,,,,,,
APC20070228,APC,2007,,,,Natural Gas,405000,,,,,,,
APC20070228,APC,2007,,,,Natural Gas,557000,,,,,,,
APC20070228,APC,2007,,,,Crude Oil,35000,,,,,,,
APC20070228,APC,2007,,,,Crude Oil,19000,,,,,,,
APC20070228,APC,2007,,,,Crude Oil,27000,,,,,,,
APC20080229,APC,2008,,,,Natural Gas,1400000,,,,,,,
APC20080229,APC,2008,,,,Natural Gas,1405000,,,,,,,
APC20080229,APC,2008,,,,Crude Oil,86000,,,,,,,
APC20090225,APC,2009,,,,Natural Gas,530000,,,,,,,
APC20090225,APC,2009,,,,Natural Gas,1200000,,,,,,,
APC20090225,APC,2009,,,,Crude Oil,48000,,,,,,,
APC20100223,APC,2010,,,,Natural Gas,1630000,,,,,,,
APC20100223,APC,2010,,,,Natural Gas,90000,,,,,,,
APC20100223,APC,2010,,,,Natural Gas,620000,,,,,,,
APC20100223,APC,2010,,,,Crude Oil,129000,,,,,,,
APC20110223,APC,2011,,,,Natural Gas,480000,,,,,,,
APC20110223,APC,2011,,,,Natural Gas,90000,,,,,,,
APC20110223,APC,2011,,,,Natural Gas,45000,,,,,,,
APC20110223,APC,2011,,,,Crude Oil,126000,,,,,,,
APC20130219,APC,2013,,,,Natural Gas,1185000,,,,,,,
APC20130219,APC,2013,,,,Crude Oil,26000,,,,,,,
APC20130219,APC,2013,,,,Crude Oil,40000,,,,,,,
APC20140228,APC,2014,,,,Natural Gas,600000,,,,,,,
APC20140228,APC,2014,,,,Natural Gas,600000,,,,,,,
APC20140228,APC,2014,,,,Natural Gas,400000,,,,,,,
APC20140228,APC,2014,,,,Crude Oil,107000,,,,,,,
APC20150220,APC,2015,,,,Natural Gas,635000,,,,,,,
APC20150220,APC,2015,,,,Natural Gas,170000,,,,,,,
APC20160217,APC,2016,,,,Oil,83000,,,,,,,
APC20160217,APC,2016,,,,Natural Gas,38000,,,,,,,
APC20160217,APC,2016,,,,Natural Gas,4000,,,,,,,
APC20170217,APC,2017,,,,Oil,91000,,,,,,,
APC20170217,APC,2017,,,,Natural Gas,682000,,,,,,,
APC20170217,APC,2017,,,,Natural Gas,37000,,,,,,,
APC20170217,APC,2017,,,,Natural Gas,2000,,,,,,,
CLR20100226,CLR,2010,,,,oil,3811,,,,,,,
CLR20100226,CLR,2010,,,,oil,1644,,,,,,,
CLR20100226,CLR,2010,,,,oil,4556,,,,,,,
CLR20100226,CLR,2010,,,,oil,2533,,,,,,,
CLR20100226,CLR,2010,,,,oil,4600,,,,,,,
CLR20100226,CLR,2010,,,,oil,6644,,,,,,,
CLR20100226,CLR,2010,,,,oil,4600,,,,,,,
CLR20100226,CLR,2010,,,,oil,6644,,,,,,,
CLR20100226,CLR,2010,,,,gas,6556,,,,,,,
CLR20100226,CLR,2010,,,,gas,11715,,,,,,,
CLR20100226,CLR,2010,,,,oil,5419,,,,,,,
CLR20100226,CLR,2010,,,,oil,2713,,,,,,,
CLR20100226,CLR,2010,,,,oil,3856,,,,,,,
CLR20100226,CLR,2010,,,,gas,30000,,,,,,,
CLR20100226,CLR,2010,,,,gas,30100,,,,,,,
CLR20100226,CLR,2010,,,,gas,30200,,,,,,,
CLR20100226,CLR,2010,,,,gas,30200,,,,,,,
CLR20100226,CLR,2010,,,,gas,19726,,,,,,,
CLR20110225,CLR,2011,,,,gas,26222,,,,,,,
CLR20110225,CLR,2011,,,,gas,404444,,,,,,,
CLR20110225,CLR,2011,,,,gas,43444,,,,,,,
CLR20110225,CLR,2011,,,,gas,47022,,,,,,,
CLR20110225,CLR,2011,,,,oil,3156,,,,,,,
CLR20110225,CLR,2011,,,,oil,28500,,,,,,,
CLR20110225,CLR,2011,,,,oil,3033,,,,,,,
CLR20110225,CLR,2011,,,,oil,28817,,,,,,,
CLR20110225,CLR,2011,,,,oil,51111,,,,,,,
CLR20110225,CLR,2011,,,,oil,29133,,,,,,,
CLR20110225,CLR,2011,,,,oil,7156,,,,,,,
CLR20110225,CLR,2011,,,,oil,7184,,,,,,,
CLR20110225,CLR,2011,,,,gas,32500,,,,,,,
CLR20120224,CLR,2012,,,,oil,10753,,,,,,,
CLR20120224,CLR,2012,,,,gas,10067,,,,,,,
CLR20120224,CLR,2012,,,,gas,22036,,,,,,,
CLR20120224,CLR,2012,,,,oil,20055,,,,,,,
CLR20120224,CLR,2012,,,,oil,14610,,,,,,,
CLR20120224,CLR,2012,,,,gas,10027,,,,,,,
CLR20130228,CLR,2013,,,,oil,30000,,,,,,,
CLR20130228,CLR,2013,,,,oil,4000,,,,,,,
CLR20130228,CLR,2013,,,,gas,13360,,,,,,,
CLR20130228,CLR,2013,,,,oil,32500,,,,,,,
CLR20130228,CLR,2013,,,,oil,24000,,,,,,,
CLR20130228,CLR,2013,,,,oil,9500,,,,,,,
CLR20130228,CLR,2013,,,,gas,18250,,,,,,,
CLR20140227,CLR,2014,,,,gas,40495,,,,,,,
CLR20140227,CLR,2014,,,,oil,29729,,,,,,,
CLR20140227,CLR,2014,,,,oil,46652,,,,,,,
CLR20140227,CLR,2014,,,,oil,60000,,,,,,,
CLR20140227,CLR,2014,,,,gas,64250,,,,,,,
CLR20150224,CLR,2015,,,,gas,24500,,,,,,,
CLR20150224,CLR,2015,,,,gas,29200,,,,,,,
CLR20160224,CLR,2016,,,,gas,133710,,,,,,,
CLR20170222,CLR,2017,,,,gas,49520,,,,,,,
CLR20170222,CLR,2017,,,,gas,72690,,,,,,,
CLR20170222,CLR,2017,,,,gas,65700,,,,,,,
DVN20040305,DVN,2004,,,,oil,11000,,,,,,,
DVN20040305,DVN,2004,,,,oil,18000,,,,,,,
DVN20040305,DVN,2004,,,,oil,15000,,,,,,,
DVN20040305,DVN,2004,,,,oil,20000,,,,,,,
DVN20040305,DVN,2004,,,,gas,8435,,,,,,,
DVN20040305,DVN,2004,,,,gas,43578,,,,,,,
DVN20040305,DVN,2004,,,,gas,41920,,,,,,,
DVN20050309,DVN,2005,,,,oil,10000,,,,,,,
DVN20050309,DVN,2005,,,,oil,6000,,,,,,,
DVN20050309,DVN,2005,,,,oil,6000,,,,,,,
DVN20050309,DVN,2005,,,,oil,3000,,,,,,,
DVN20050309,DVN,2005,,,,oil,17000,,,,,,,
DVN20050309,DVN,2005,,,,oil,15000,,,,,,,
DVN20050309,DVN,2005,,,,oil,15000,,,,,,,
DVN20050309,DVN,2005,,,,gas,38578,,,,,,,
DVN20050309,DVN,2005,,,,gas,38578,,,,,,,
DVN20050309,DVN,2005,,,,gas,12000,,,,,,,
DVN20050309,DVN,2005,,,,oil,10000,,,,,,,
DVN20050309,DVN,2005,,,,oil,6000,,,,,,,
DVN20050309,DVN,2005,,,,oil,6000,,,,,,,
DVN20050309,DVN,2005,,,,oil,3000,,,,,,,
DVN20050309,DVN,2005,,,,oil,17000,,,,,,,
DVN20050309,DVN,2005,,,,oil,15000,,,,,,,
DVN20050309,DVN,2005,,,,oil,15000,,,,,,,
DVN20050309,DVN,2005,,,,oil,22000,,,,,,,
DVN20050309,DVN,2005,,,,oil,50000,,,,,,,
DVN20060303,DVN,2006,,,,gas,38578,,,,,,,
DVN20060303,DVN,2006,,,,gas,12000,,,,,,,
DVN20080228,DVN,2008,,,,oil,21754,,,,,,,
DVN20080228,DVN,2008,,,,gas,969112,,,,,,,
DVN20080228,DVN,2008,,,,oil,21754,,,,,,,
DVN20090227,DVN,2009,,,,gas,267973,,,,,,,
DVN20100225,DVN,2010,,,,gas,1265000,,,,,,,
DVN20100225,DVN,2010,,,,gas,150000,,,,,,,
DVN20100225,DVN,2010,,,,gas,70000,,,,,,,
DVN20100225,DVN,2010,,,,gas,88836,,,,,,,
DVN20100225,DVN,2010,,,,oil,79000,,,,,,,
DVN20100225,DVN,2010,,,,gas,1265000,,,,,,,
DVN20100225,DVN,2010,,,,gas,150000,,,,,,,
DVN20100225,DVN,2010,,,,gas,70000,,,,,,,
DVN20100225,DVN,2010,,,,oil,79000,,,,,,,
DVN20110225,DVN,2011,,,,gas,730226,,,,,,,
DVN20110225,DVN,2011,,,,oil,45000,,,,,,,
DVN20110225,DVN,2011,,,,oil,500,,,,,,,
DVN20110225,DVN,2011,,,,gas,712500,,,,,,,
DVN20110225,DVN,2011,,,,oil,45000,,,,,,,
DVN20110225,DVN,2011,,,,gas,500,,,,,,,
DVN20120224,DVN,2012,,,,oil,22000,,,,,,,
DVN20120224,DVN,2012,,,,gas,325000,,,,,,,
DVN20130221,DVN,2013,,,,oil,31000,,,,,,,
DVN20130221,DVN,2013,,,,gas,560000,,,,,,,
DVN20130221,DVN,2013,,,,gas,28435,,,,,,,
DVN20140228,DVN,2014,,,,oil,75000,,,,,,,
DVN20140228,DVN,2014,,,,gas,800000,,,,,,,
DVN20150220,DVN,2015,,,,oil,22514,,,,,,,
DVN20150220,DVN,2015,,,,oil,8000,,,,,,,
DVN20150220,DVN,2015,,,,oil,14247,,,,,,,
DVN20150220,DVN,2015,,,,oil,250000,,,,,,,
DVN20150220,DVN,2015,,,,gas,100000,,,,,,,
DVN20150220,DVN,2015,,,,gas,70000,,,,,,,
DVN20150220,DVN,2015,,,,gas,200000,,,,,,,
DVN20160217,DVN,2016,,,,oil,54650,,,,,,,
DVN20170215,DVN,2017,,,,oil,72527,,,,,,,
DVN20170215,DVN,2017,,,,oil,189753,,,,,,,
