company,critic_name,movie,rating,review_text
Reel Film Reviews,David Nusair,Toy Story 2,fresh,a superior sequel...
New York Press,Armond White,Toy Story 2,fresh,"toy story 2 shows how pop art can disarm your loftiest objections with unexpected wit and genuine insight. ""magical"" describes it but not its aspects that are superlatively humane."
Film Frenzy,Matt Brunson,Toy Story 2,fresh,that rare sequel that lives up to the high standards of its predecessor.
Times-Picayune,David Baron,Toy Story 2,fresh,"""toy story 2"" offers as much fun as audiences are likely to have in movie theaters this season."
Hollywood Reporter,Michael Rechtshaffen,Toy Story,fresh,"with ""instant classic"" written all over it, toy story, the first full-length feature entirely composed of computer-generated animation, is a visually astounding, wildly inventive winner."
Entertainment Weekly,Owen Gleiberman,Toy Story,fresh,
Boxoffice Magazine,Amy Nicholson,Toy Story,fresh,i think i speak for all adults and kids when i say i can't wait for playtime
Time Out,Derek Adams,Toy Story,fresh,"so ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm."
TIME Magazine,Richard Corliss,Toy Story,fresh,the year's most inventive comedy.
Newsweek,David Ansen,Toy Story,fresh,a winning animated feature that has something for everyone on the age spectrum.
Film Frenzy,Matt Brunson,Toy Story,fresh,"if you haven't seen the original in some time, perhaps for fear that it won't hold up compared to the later, sleeker releases from pixar, it's worth rediscovering its pleasures."
Times-Picayune,David Baron,Toy Story,fresh,"[tom] hanks doesn't just speak lines, he gives a performance."
rachelsreviews.net,Rachel Wagner,Toy Story,fresh,[toy story] gives us some of the best characters ever in film.
Patrick Nabarro,PJ Nabarro,Toy Story,fresh,"all great animated films, certainly those aimed at youngsters, seem to subtly lament the transience of the magic of childhood, and toy story certainly fits in that lineage."
New York Magazine/Vulture,Peter Rainer,Finding Nemo,fresh,"finding nemo is distributed by disney, and it has what the most heartfelt disney animated features used to have: rapturous imagery matched with real wit."
New Yorker,Anthony Lane,Finding Nemo,fresh,"the latest flood of wizardry from pixar, whose productions, from toy story onward, have lent an indispensable vigor and wit to the sagging art of mainstream animation."
Associated Press,David Germain,Finding Nemo,fresh,"finding nemo is laced with smart humor and clever gags, and buoyed by another cheery story of mismatched buddies: a pair of fish voiced by albert brooks and ellen degeneres."
AV Club,Keith Phipps,Finding Nemo,fresh,"like pixar's previous films, finding nemo mines humor from the oddities of an unknown world but stays grounded in a familiar one, finding recognizable elements of heartbreak and happiness amid the ink-jetting octopi and irritable flounders."
Wall Street Journal,Joe Morgenstern,Finding Nemo,fresh,"while mr. brooks is very funny, ms. degeneres gives a bravura comic performance, as well as a touching one."
Newark Star-Ledger,Stephen Whitty,Finding Nemo,fresh,"a genuinely funny and touching film that, in less than a decade, has established itself as a timeless classic."
Film Frenzy,Matt Brunson,Finding Nemo,fresh,it's downright curmudgeonly to remain focused on the negatives when the rest of the picture is saturated with invention and wit.
rachelsreviews.net,Rachel Wagner,Finding Nemo,fresh,pixar really knocked it out of the park on this one.
Outlook,Namrata Joshi,Finding Nemo,fresh,"most of all, finding nemo is a touching tale which reassures you that even though things may look bleak, it will all turn out well in the end."
London Evening Standard,Neil Norman,Finding Nemo,fresh,"finding nemo offers as much in terms of thrills, frights, humour and psychological insight as it does in pure technical skill, proving that a movie can be art without being an ""art"" movie."
New Yorker,Anthony Lane,Toy Story 4,fresh,cooley's film quickens and deepens...
Salon.com,Matthew Rozsa,Toy Story 4,fresh,"the latest installment, ""toy story 4,"" is perhaps the bleakest (and most beautiful) of them all."
Christian Science Monitor,Peter Rainer,Toy Story 4,fresh,"it doesn't put you through the emotional wringer the way its predecessor did, but it's consistently inventive, funny, witty, and heartfelt. in other words, it's a lot better than it has any right to be. it's more than good enough to justify its existence."
Detroit News,Adam Graham,Toy Story 4,fresh,"finding your purpose, embracing your destiny and accepting your mortality are mature themes for a children's film, but ""toy story 4"" handles them nimbly while still managing to be a colorful family adventure."
Toronto Sun,Mark Daniell,Toy Story 4,fresh,toy story 4 achieves the near impossible. it's an emotionally rewarding film that joyfully reintroduces old friends alongside a new roster of engaging characters.
Wall Street Journal,Joe Morgenstern,Toy Story 4,fresh,"the new film isn't flawless, but it's hugely enjoyable and speaks, with bewitching buoyancy, to nothing less than the purpose of living and the mystery of life."
Looking Closer,Jeffrey Overstreet,Toy Story 4,fresh,"this is the funniest toy story yet. ... [and it's] the first story in this world to focus on children as much as toys. in this, it raises important new questions."
Nestor Cine Desde Hollywood,Nestor Bentancor,Toy Story 4,fresh,"a multilayered, hilarious and visually stunning complement to a story that has grown alongside its audience. you've got a friend in pixar. [full review in spanish]"
Arkansas Democrat-Gazette,Piers Marchant,Toy Story 4,fresh,"it might not reach the heights of earlier installments, with little of the madcap inspiration that propelled the earlier films, but it still manages to arrive at a satisfying enough endpoint."
Indie London,Rob Carnevale,Toy Story 4,fresh,"put simply, it's a blast being in the company of these characters once again."
The Public (Buffalo),M. Faust,Inside Out,rotten,some viewers will probably be impressed that inside out contains a sequence that dramatizes the four stages of abstraction. but that doesn't make it a better movie.
Chicago Sun-Times,Richard Roeper,Inside Out,fresh,"inside out [is] a bold, gorgeous, sweet, funny, sometimes heartbreakingly sad, candy-colored adventure that deserves an academy award nomination for best picture."
ChristyLemire.com,Christy Lemire,Inside Out,fresh,"this is a movie that dares to explore existential crises, in the middle of the summer, in an animated movie that's aimed at the whole family"
New Yorker,Anthony Lane,Inside Out,fresh,"on the scale of inventiveness, ""inside out"" will be hard to top this year. as so often with pixar, you feel that you are visiting a laboratory crossed with a rainbow."
The Atlantic,Christopher Orr,Inside Out,fresh,"welcome back, pixar. you were sorely missed."
Grantland,Wesley Morris,Inside Out,fresh,"the challenge here involves maintaining a believable humanity while also making an entertaining case that humanity is impossible without the proper emotional configuration. and in meeting that challenge, the movie keeps surprising and delighting you."
"The Dispatch (Lexington, NC)",Matthew Lucas,Inside Out,fresh,"display(s) a keen understanding of childhood and its most precious joys and deepest fears, synthesizing them into something that is instantly relatable to children and adults alike."
Film Frenzy,Matt Brunson,Inside Out,fresh,"inside out's brainy script is matched both by its visual splendor, often invoking the spirit of miyazaki, and its humanist reach, which extends to both family and (imaginary) friend alike."
Stylecaster,Aramide Tinubu,Inside Out,fresh,almost as if someone realized that kids were people too...inside out truly pushed the envelope when it comes to kiddy flicks.
One Room With A View,Cameron Ward,Inside Out,fresh,inside out lovingly explores the complex interplay of emotional turmoil with pixar's apparently endless talent for innovation and visual design.
Village Voice,Eric Hynes,Toy Story 3,fresh,"when teenaged andy plops down on the grass to share his old toys with a shy little girl, the film spikes with sadness and layered pleasure -- a concise, deeply wise expression of the ephemeral that feels real and yet utterly transporting."
New Yorker,David Denby,Toy Story 3,fresh,"there are many sweet laughs and joking allusions to horror and prison-break movies, but the pixar gang gets at the most primary fear -- being cast off and no longer of use."
CNN.com,Tom Charity,Toy Story 3,fresh,i seriously doubt there will be a more hilarious and heartfelt blockbuster all summer.
TheWrap,Leah Rozen,Toy Story 3,fresh,"it's still more inventive, clever and laugh-out-loud funny than any other movie out there now."
Time Out,Ben Walters,Toy Story 3,fresh,the 'toy story' films are deservedly seen as the gold standard for computer-generated animation...
Newsday,Rafer Guzman,Toy Story 3,fresh,"it's sadder and scarier than its predecessors, but it also may be the most important chapter in the tale."
Reel Film Reviews,David Nusair,Toy Story 3,fresh,...an inventive and often completely gripping adventure...
Film Frenzy,Matt Brunson,Toy Story 3,fresh,"while threepeats may be rare in the sports world, they're even harder to achieve in the cinematic realm. yet here's toy story 3, bucking the odds and satisfying sky-high expectations."
"The Dispatch (Lexington, NC)",Matthew Lucas,Toy Story 3,fresh,"something deeply, almost primal in a powerful way, tapping into the emotional core of an entire generation and the eternally young at heart."
Bowling Green Daily News,Micheal Compton,Toy Story 3,fresh,"more than lives up to the lofty expectations as a worthy addition to the already classic series. there is something for everyone in the film, which is easily the best major american studio release i've seen in 2010."
CNN.com,Tom Charity,Up,fresh,"funny and poignant and full of life, up easily qualifies as one of the best movies of the year so far. go with someone you care about."
Entertainment Weekly,"
                                    ",Up,fresh,
New Yorker,David Denby,Up,fresh,"the movie is packed with lovely jokes, some of them funny in inexplicable ways."
At the Movies,Ben Mankiewicz,Up,fresh,the key to pixar's success has always been the perfect blend of heart and humor -- and they've certainly done it again here.
At the Movies,Ben Lyons,Up,fresh,this is really special.
New York Post,Lou Lumenick,Up,fresh,"an exquisite work of cinematic art that also happens to be the funniest, most touching, most exciting and most entertaining movie released so far this year."
Film Frenzy,Matt Brunson,Up,fresh,"here's a movie that ultimately goes to the dogs (dug!), and it still deserves enthusiastic thumbs up."
"The Dispatch (Lexington, NC)",Matthew Lucas,Up,fresh,"a perfect blend of humor and heart, mixed with rousing adventure and spectacular animation."
Bowling Green Daily News,Micheal Compton,Up,fresh,a delightful and touching experience that isn't just one of the best films from the studio -- it's the best film to date in 2009.
rachelsreviews.net,Rachel Wagner,Up,fresh,up is a perfect movie.
San Diego Reader,Matthew Lickona,Coco,fresh,"of every pixar film that deals with family, memory, and loss, ask, ""is there sufficient reason for the tears that will inevitably run down my face by the end?"" yes, thanks in no small part to the ingenious use of de la cruz's hit song, ""remember me."""
The Atlantic,Christopher Orr,Coco,fresh,"does coco rise to the heights of pixar's very best work? no. but it is a generous, heartfelt film, full of color and music, one that offers a timely thanksgiving tribute to the intergenerational importance of family."
Globe and Mail,Kate Taylor,Coco,fresh,"none of coco's few flaws can fatally undermine the film because it is, most of all, a smart and enduring piece of storytelling with a satisfyingly twisting narrative and richly complex theme."
Chicago Reader,Ben Sachs,Coco,fresh,this engaging pixar animation plays magnificently with elements of mexican folklore and fine art.
Newark Star-Ledger,Stephen Whitty,Coco,fresh,"its backgrounds ... have a vibrancy, and its atmosphere carries a warmth. and even after it's done, both linger, just a bit -- like a perfectly struck guitar chord."
NPR,Bob Mondello,Coco,fresh,"the plot, arguably, comes packed with more complications and psychedelic spirit-critters than it really needs. but you can't blame pixar's animators for having a field day with the film's imagery ..."
Film Frenzy,Matt Brunson,Coco,fresh,the story's metaphysical slant lends the proceedings a haunting and ruminative air.
"The Reader (Omaha, NE)",Ryan Syrek,Coco,fresh,"easily the best pixar movie in a half decade, coco will be beloved by some and enjoyed by all. see it with your fam, but maybe show up a half hour after the scheduled start time."
"The Dispatch (Lexington, NC)",Matthew Lucas,Coco,fresh,"coco  is a wonder, a dazzling and deeply moving candy-colored fantasia fueled by the power of music."
Bleeding Cool,Kaitlyn Booth,Coco,fresh,"coco is another pixar masterstroke that stalls a bit in the middle, but comes back for one hell of a third act."
Chicago Reader,J. R. Jones,The Incredibles,fresh,the sleek computer animation is spellbinding as usual.
Entertainment Weekly,"
                                    ",The Incredibles,fresh,
Time Out,"
                                    ",The Incredibles,fresh,"bombastic finale aside, it's a cut (and an age-range) above the simplicities of finding nemo."
Observer,Andrew Sarris,The Incredibles,fresh,the often wry and pointed dialogue reminded me of the glory days of radio.
New Yorker,Anthony Lane,The Incredibles,fresh,the folks at the movie's heart are exaggerated way beyond our capacities but not quite beyond our imaginings. the title is unjust; these are the very slightly credibles.
Salon.com,Stephanie Zacharek,The Incredibles,fresh,the incredibles has that rare quality of feeling modern and classic at the same time.
Film Frenzy,Matt Brunson,The Incredibles,fresh,"for all its kid-friendly sops, this feels as mature as any live-action drama."
"The Dispatch (Lexington, NC)",Matthew Lucas,The Incredibles,fresh,"as edna mode might say - the incredibles is ""mahvelous dahling."""
rachelsreviews.net,Rachel Wagner,The Incredibles,fresh,one of the best movies about work i've seen.
Looking Closer,Jeffrey Overstreet,The Incredibles,fresh,"kids are going to love it, and ... their parents will love it even more. packaging [the film] as family fun, bird baits grownups into family therapy."
NPR,Bob Mondello,Ratatouille,fresh,"kids are gonna gobble ratatouille up; adults will relish its wit, and everyone will want to go out to eat after."
Hollywood Reporter,Kirk Honeycutt,Ratatouille,fresh,bird builds a comic world in which a rat can become a chef and food can take on an almost unbearable sensuality.
Entertainment Weekly,"
                                    ",Ratatouille,fresh,
RogerEbert.com,Roger Ebert,Ratatouille,fresh,"a lot of animated movies have inspired sequels, notably shrek, but brad bird's ratatouille is the first one that made me positively desire one."
Observer,Andrew Sarris,Ratatouille,fresh,ratatouille is a veritable feast for the eye and the ear. don't miss it.
New Yorker,David Denby,Ratatouille,fresh,"in ratatouille, the level of moment-by-moment craftsmanship is a wonder."
Film Frenzy,Matt Brunson,Ratatouille,fresh,"a love letter to paris, a valentine to the fine art of cooking, and a gift to film fans of all ages."
"The Dispatch (Lexington, NC)",Matthew Lucas,Ratatouille,fresh,a delectable treat that represents the finest qualities in animation and american cinema.
rachelsreviews.net,Rachel Wagner,Ratatouille,fresh,has great vocal performances throughout and is about a character figuring out where they belong and finally being accepted there. i love it!
Tor.com,Emily Asher-Perrin,Ratatouille,fresh,"that is the (...) imperative message of ratatouille. everyone is not an artist, but anyone could be an artist. because, as living creatures, it is simply what we do."
Wall Street Journal,Joe Morgenstern,"Monsters, Inc.",fresh,"the uses of enchantment haven't changed; kids still need, maybe more than ever, the special comfort of fabulous threats they can control."
Newsweek,David Ansen,"Monsters, Inc.",fresh,"it's a terrific piece of work: smart, inventive and executed with state-of-the-art finesse."
Time Out,Tom Huddleston,"Monsters, Inc.",fresh,"it's in the visuals that 'monsters inc' comes to life, from the jazzy, norman mclaren influenced opening to the hilarious, shakycam amateur-dramatic recap over the closing credits."
Entertainment Weekly,Stephan Lee,"Monsters, Inc.",fresh,"it may be harder nowadays to dazzle audiences with fancy visual effects, but monsters, inc. 3d proves that smart, imaginative storytelling still does the trick every time."
Newark Star-Ledger,Stephen Whitty,"Monsters, Inc.",fresh,"most of the charm of ""monsters inc."" comes from its vocal cast."
New York Daily News,Elizabeth Weitzman,"Monsters, Inc.",fresh,"if history is any guide, you and your family - whether young or old - will probably want to see ""monsters university"" over and over."
Film Frenzy,Matt Brunson,"Monsters, Inc.",fresh,a timeless toon tale.
rachelsreviews.net,Rachel Wagner,"Monsters, Inc.",fresh,it's a delight.
Family Home Theater,James Plath,"Monsters, Inc.",fresh,"it's funny, the characters are endearing, the monster world is cleverly developed, and the pixar gang really has fun with this one."
Big Hollywood,John Hanlon,"Monsters, Inc.",fresh,remains as wonderful and remarkably charming as it was when it was first released.
Time Out,Dave Calhoun,WALL-E,fresh,"i wonder a little what kids will make of the long silence of the first half followed by the disorienting mania of the second, but there's nothing here that's not wonderfully imagined and lovingly presented."
Entertainment Weekly,"
                                    ",WALL-E,fresh,
CNN.com,Tom Charity,WALL-E,fresh,the most consistent production unit in hollywood just hit another home run.
St. Louis Post-Dispatch,Joe Williams,WALL-E,fresh,"among its many wondrous achievements, the animated wall-e is a sci-fi trifecta: a vision of the future, a tale for our times and a blast from the past."
New Yorker,David Denby,WALL-E,fresh,"wall-e is a classic, but it will never appeal to people who are happy with art only when it has as little bite as possible."
Newsweek,David Ansen,WALL-E,fresh,you'd have to be a machine for your heart not to melt.
Film Frenzy,Matt Brunson,WALL-E,fresh,"ultimately, wall-e is about nothing less than one of the tenets of human existence: the need to find a partner with whom to share life's experiences."
"The Dispatch (Lexington, NC)",Matthew Lucas,WALL-E,fresh,"a sweeping, glorious spectacle that never loses sight of its heart or the simple, heartrending love story at its core."
rachelsreviews.net,Rachel Wagner,WALL-E,fresh,one of the most gorgeous animated films ever made- cg or 2d.
1More Film Blog,Kenneth R. Morefield,WALL-E,rotten,"wall-e is near the top of the list of films i call ""friendship killers."""
Chicago Reader,Andrea Thompson,Incredibles 2,rotten,incredibles 2 regresses to a time when any power women managed to acquire was carefully controlled so as not constitute a threat to the male order. such nostalgia is self-defeating.
NPR's All Things Considered,Bob Mondello,Incredibles 2,fresh,"i exaggerate not a bit when i say that parents will feel just as empowered while watching ""incredibles 2"" as any child."
New Yorker,Richard Brody,Incredibles 2,rotten,"it's a nostalgic vision of total power of a local minimum that echoes sickeningly with the nostalgic pathologies of the current day, nowhere more than in win's enthusiastic declaration of his plan to ""make superheroes legal again."""
The New Republic,Josephine Livingstone,Incredibles 2,fresh,"the incredibles 2 is an undeniable triumph, but it is also so keenly aware that it becomes exhausting."
New Yorker,Anthony Lane,Incredibles 2,fresh,"once michael giacchino's score -- his best and most excitable -- was up and running, i was happy and hooked."
What the Flick?!,Christy Lemire,Incredibles 2,fresh,"it's really fun, and it moves really well. it was paced beautifully and is gorgeously detailed...get there early and see everything."
Pittsburgh Magazine,Sean Collier,Incredibles 2,fresh,"for a summer hit, though, there's plenty to like."
"The Reader (Omaha, NE)",Ryan Syrek,Incredibles 2,fresh,"incredibles 2 never justifies ""why now"" or tries to do more than make people who love their families despite life's frustration feel good. that doesn't prevent it from being a very fun, very good movie."
"The Dispatch (Lexington, NC)",Matthew Lucas,Incredibles 2,fresh,"for all its flash and pizazz, it's the heart that lies at its center that makes it worth returning to this well after 14 years."
Stabroek News,Andrew Kendall,Incredibles 2,fresh,the strongest moments of the film's climax depend on brad bird emphasising how one or even two superhero powers working together cannot certify success. in incredibles 2 it takes a whole village.
Salon.com,Matthew Rozsa,Finding Dory,fresh,who would have thought one of the deepest films ever made about learning disabilities would star a talking blue fish?
New Yorker,Bruce Diones,Finding Dory,fresh,"while not as visually dazzling as its predecessor, the film is still colorful and immersive; the script, while predictable, puts an engaging spin on the issues of home and identity."
ChristyLemire.com,Christy Lemire,Finding Dory,fresh,it's gorgeous. it's lively. it's got terrific performances from a strong voice cast. it's emotionally affecting without being heavy-handed.
Newsweek,Zach Schonfeld,Finding Dory,fresh,"dory's visual palette is such a joy to look at, drawing on the deep blues and greens of the underwater expanse and ocean-dwelling algae."
ReelViews,James Berardinelli,Finding Dory,fresh,"finding dory is enjoyable in its own right, even if its powerful sense of déjà vu keeps it from approaching the pinnacle of the disney/pixar collaborations."
Christian Science Monitor,Peter Rainer,Finding Dory,fresh,there are some rollicky moments in finding dory... [but] the inventiveness of the animation is not matched by the frayed workmanship of the story line.
Film Frenzy,Matt Brunson,Finding Dory,rotten,"efforts like finding dory do little to quell the feeling that a certain measure of rubber-stamp efficiency has gripped the studio (the superb inside out excepted). in other words, welcome to pixar's cash-grab years."
Screen Junkies,Dan Murrell,Finding Dory,fresh,what finding dory does is take the pixar formula and deliver exactly what you want to see from a pixar movie.
rachelsreviews.net,Rachel Wagner,Finding Dory,fresh,finding dory is stunningly beautiful.
One Room With A View,Tom Bond,Finding Dory,fresh,"disability - or really, any kind of minor impairment - is rarely featured in mainstream cinema, and finding dory is at its strongest when exploring these uncharted waters."
Entertainment Weekly,Owen Gleiberman,A Bug's Life,fresh,a bug's life may be the single most amazing film i've ever seen that i couldn't fall in love with.
Wall Street Journal,Joe Morgenstern,A Bug's Life,fresh,this animated fable teems with vivid creatures standing on their own countless feet.
Detroit News,Susan Stark,A Bug's Life,fresh,
TIME Magazine,Richard Corliss,A Bug's Life,fresh,the plot matures handsomely; the characters neatly converge and combust; the gags pay off with emotional resonance.
Chicago Reader,Lisa Alspector,A Bug's Life,fresh,"full of adventure, spectacle, light romance, and the kind of suspense that doesn't require an unpredictable outcome to make your spine tingle."
Time Out,Derek Adams,A Bug's Life,fresh,pixel perfect.
Film Frenzy,Matt Brunson,A Bug's Life,fresh,"the same year's antz is the better film (at least for adults), though there's plenty to enjoy in what over the long term has been revealed as a relatively minor pixar project."
rachelsreviews.net,Rachel Wagner,A Bug's Life,fresh,the writing all around is really good.
Antagony & Ecstasy,Tim Brayton,A Bug's Life,fresh,an entirely beguiling little adventure that advancing technology and a vastly different marketplace haven't robbed of its merits.
Film4,"
                                    ",A Bug's Life,fresh,"the colours are vivid, the detail incredible and the vocal performances, led by foley, are fine. happily, it works on both a child's and adult's level."
ChristyLemire.com,Christy Lemire,Monsters University,fresh,"it is essentially revenge of the nerds, with fur. and scales. and whatever gooey, gelatinous substance comprises the outer coating of various other oddball creatures in this crazy parallel world."
Grantland,Wesley Morris,Monsters University,fresh,"studios don't often seem to be thinking about the ideal moviegoer, just about the maximum number of moviegoers ... pixar is no different in that regard, but even in this relatively fallow period ... it's never stopped thinking the most of us."
Time Out,Trevor Johnston,Monsters University,fresh,"it has enough of the right stuff to haunt the imagination long after the immediate buzz of its fluffy-furred cuteness has melted away. for a mere prequel, that's a result."
Richard Roeper.com,Richard Roeper,Monsters University,rotten,"this is a safe, predictable, edge-free, nearly bland effort from a studio that rarely hedges its bets."
Christian Science Monitor,Peter Rainer,Monsters University,fresh,"as prequels go, monsters university is pretty nifty."
ReelViews,James Berardinelli,Monsters University,fresh,"although it falls short of the best pixar has brought to the screen over its long association with disney, it's nevertheless worth a trip to the theater, especially for kids."
Film Frenzy,Matt Brunson,Monsters University,fresh,"an amusing prequel to 2001's monsters, inc."
"The Dispatch (Lexington, NC)",Matthew Lucas,Monsters University,fresh,"a decent enough way to pass the time, but it pales in comparison to the modern classics that pixar has delivered before."
rachelsreviews.net,Rachel Wagner,Monsters University,fresh,"overall, monsters university is a very pleasant pixar movie and one... that subverts traditional narrative quite a bit for the kind of story it is telling."
Bowling Green Daily News,Micheal Compton,Monsters University,fresh,the latest from pixar is a charming endeavor that's sure to please children while sprinkling in just enough to keep the adults interested as well.
Hollywood Reporter,Todd McCarthy,Cars 2,fresh,lightning and mater mix it up with formula 1 and spies in yet another pixar winner.
Screen International,Brent Simon,Cars 2,fresh,"base-level entertainment on a familiarly laid racetrack. while unfolding against a sumptuous visual backdrop, cars 2 doesn't have the same adventurousness of spirit that marks pixar's best efforts."
HitFix,Drew McWeeny,Cars 2,fresh,"frantic, loud, colorful, ""cars 2"" is pure unfiltered stimulation without the thematic weight of the original. what it loses in gentle observations, it more than makes up for in explosions, spy movie conventions, and more explosions."
Cinema Autopsy,Thomas Caldwell,Cars 2,rotten,"cars 2 is not only the weakest pixar film to date, but it's the first one that can be sadly dismissed as not particularly worth seeing."
Urban Cinefile,Andrew L. Urban,Cars 2,fresh,"utterly brilliant animation, inventive story telling and thrilling spy movie with heart"
Urban Cinefile,Louise Keller,Cars 2,fresh,"a tad too complicated but there's a large bonnet full of surprises, laughs and adventures as brilliant action and chaos explodes onscreen"
Boston Globe,Jay Carr,Toy Story 2,fresh,toy story 2 is everything you could want in a sequel.
E! Online,"
                                    ",Toy Story 2,fresh,"unlike other kid-directed movies -- stop blushing, pokmon -- there's so much warmth and emotion here that adults will enjoy it as much as kids."
ReelViews,James Berardinelli,Toy Story 2,fresh,"one would have to be a hopeless curmudgeon not to be entertained by toy story 2's remarkable visual style, quick-moving storyline, endearing characters, and witty dialogue."
Q Network Film Desk,James Kendrick,Toy Story 2,fresh,
Big Picture Big Sound,Joe Lozito,Toy Story 2,fresh,the godfather of animated films.
Entertainment Weekly,"
                                    ",Toy Story,fresh,"i can hardly imagine having more fun at the movies than i did at toy story, the miraculous new disney feature that's the first full-length animated film to be produced entirely on computer."
Q Network Film Desk,James Kendrick,Toy Story,fresh,
Sacramento News & Review,Jim Lane,Toy Story,fresh,"thanks to pixar's inherent wit, story sense and unerring ear for voice casting, its original charm and delight are intact."
Orlando Sentinel,Roger Moore,Toy Story,fresh,"the great voice acting, the visual puns, all added up to an animation game changer."
Moviehole,Clint Morris,Finding Nemo,fresh,a wonderfully engaging entertainment that is a visual masterpiece as well as a darn good tale with loads of humour and excitement to appeal to the child in all of us.
Slant Magazine,Ed Gonzalez,Finding Nemo,fresh,finding nemo merely transplants human suburban anxiety to an underwater realm.
Film Journal International,Shirley Sealy,Finding Nemo,fresh,another terrific pixar pic for all generations.
Hot Button,David Poland,Finding Nemo,fresh,"finding nemo is like a great foreign film, its visual and energy having such clarity that subtitles (or words or stories) are almost unnecessary."
Jam! Movies,Liz Braun,Finding Nemo,fresh,"no doubt, finding nemo marks yet another huge advance in the world of animation. the technical term for these advances, in layman's language, is ""holy mackerel!"""
Raising Whasians,Christie Cronan,Toy Story 4,fresh,"while not my favorite of the toy story films, toy story 4 is the relationship closure ending that we need to move from infinity to beyond. bring all of the tissues."
Hollywood Reporter,Todd McCarthy,Inside Out,fresh,"this adventurous outing manages the great pixar trick of operating on two levels-captivating fun for kids, disarming smarts for adults-that sets the studio apart."
Variety,Peter Debruge,Inside Out,fresh,"pixar's 15th feature proves to be the greatest idea the toon studio has ever had ... promises to forever change the way people think about the way people think, delivering creative fireworks grounded by a wonderfully relatable family story."
Little White Lies,Sophie Monks Kaufman,Inside Out,fresh,pixar's delightful and sophisticated latest takes us on a dazzling journey into the mind of a child.
Irish Times,Donald Clarke,Inside Out,fresh,"a numbskulls for the digital generation, inside out is funny enough, sweet enough and wise enough to sit in an adjacent room to up and wall-e."
Guardian,Peter Bradshaw,Inside Out,fresh,"it is tremendously buoyant and watchable, with some great visual invention."
ComingSoon.net,Edward Douglas,Inside Out,fresh,a bittersweet look at childhood's end that might be pixar's most layered and complex film since ratatouille.
HitFix,Gregory Ellwood,Inside Out,fresh,simply one of pixar's most creative films ever
Associated Press,Christy Lemire,Toy Story 3,fresh,adults in the audience will undoubtedly shed a tear or two. but that's how good the folks at pixar are: they make you feel genuine emotions for hunks of plastic.
indieWire,Todd McCarthy,Toy Story 3,fresh,"once it kicks in to unexpectedly become a prison-break thriller, it fires on all cylinders all the way to the finish line."
Cinema em Cena,Pablo Villaça,Toy Story 3,fresh,uma montanha-russa emocional de fazer inveja a muitos projetos voltados ao público adulto.
EmanuelLevy.Com,Emanuel Levy,Toy Story 3,fresh,"nostalgic in tone and sentimental in ideology, toy story 3 lacks the visual and thematic sophistication of wall-e and up, but it's still emotionally touching and likely to please all members of the family."
Boxoffice Magazine,Pete Hammond,Toy Story 3,fresh,"woody, buzz and the gang are back on the screen and that's cause for major celebration for moviegoers."
