,doc_id,datetime_1,datetime_1_type,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,instrument_type,product_type,price_3,price_3_type,price_4,price_4_type,vol_2,vol_2_type,additional
6,APA20070301,,",costless collars,production period,,",23725000,",total volumes,(mmbtu/bbl/gj),,, MMBtu",$6.85|7.00,",floor price,range,,",$9.52|10.15,",ceiling price,range,,",collar,natural gas,$6.88/9.67,"weighted,average,floor/ceiling,,",$26929,",fair value,asset/(liability),(in thousands),",,,
7,APA20070301,,",costless collars,production period,,",3650000,",total volumes,(mmbtu/bbl/gj),,, GJ",$6.24|6.24,",floor price,range,,",$8.15|8.15,",ceiling price,range,,",collar,natural gas,$6.24/8.15,"weighted,average,floor/ceiling,,",$3004,",fair value,asset/(liability),(in thousands),",,,
8,APA20070301,,",costless collars,production period,,",6473500,",total volumes,(mmbtu/bbl/gj),,, Bbl",$33.00|75.00,",floor price,range,,",$39.25|85.00,",ceiling price,range,,",collar,oil,$59.78/70.62,"weighted,average,floor/ceiling,,","$(12,102",",fair value,asset/(liability),(in thousands),",,,
9,APA20070301,2008,",costless collars,production period,,",25620000,",total volumes,(mmbtu/bbl/gj),,, MMBtu",$7.50|8.15,",floor price,range,,",$10.47|10.80,",ceiling price,range,,",collar,natural gas,$7.96/10.56,"weighted,average,floor/ceiling,,",$14236,",fair value,asset/(liability),(in thousands),",,,
10,APA20070301,,",costless collars,production period,,",23790000,",total volumes,(mmbtu/bbl/gj),,, MMbtu",$6.90|7.00,",floor price,range,,",$9.55|10.05,",ceiling price,range,,",collar,natural gas,$6.91/9.74,"weighted,average,floor/ceiling,,",$13251,",fair value,asset/(liability),(in thousands),",,,
11,APA20070301,,",costless collars,production period,,",3660000,",total volumes,(mmbtu/bbl/gj),,, GJ",$6.24|6.24,",floor price,range,,",$8.13|8.13,",ceiling price,range,,",collar,natural gas,$6.24/8.13,"weighted,average,floor/ceiling,,",$674,",fair value,asset/(liability),(in thousands),",,,
12,APA20070301,,",costless collars,production period,,",4575000,",total volumes,(mmbtu/bbl/gj),,, Bbl",$69.00|69.00,",floor price,range,,",$79.65|81.50,",ceiling price,range,,",collar,oil,$69.00/80.39,"weighted,average,floor/ceiling,,",$22213,",fair value,asset/(liability),(in thousands),",,,
5,APA20070301,2007,",fixed price swaps,production period,,",1761000,"total,volumes,(mmbtu/bbl),,",$5.46|5.71,",fixed price,range,,",$5.57,",average,fixed price,,",swap,natural gas,"$(1,722",",fair value,asset/(liability),(in thousands),",,,,,
6,APA20070301,,",fixed price swaps,production period,,",4458000,"total,volumes,(mmbtu/bbl),,",$36.78|73.26,",fixed price,range,,",$70.29,",average,fixed price,,",swap,oil,$22931,",fair value,asset/(liability),(in thousands),",,,,,
7,APA20070301,2008,",fixed price swaps,production period,,",4392000,"total,volumes,(mmbtu/bbl),,",$66.85|70.90,",fixed price,range,,",$69.21,",average,fixed price,,",swap,oil,$7131,",fair value,asset/(liability),(in thousands),",,,,,
4,APA20080229,2008,",production period,,",89670000,",total volumes,,, MMBtu",$7.24/10.28,"weighted average,floor/ceiling,,",$36029,"fair value,asset/(liability),(in thousands),",collar,natural gas,,,,,,,
5,APA20080229,,",production period,,",32940000,",total volumes,,, GJ",$6.66/10.44,"weighted average,floor/ceiling,,",$19859,"fair value,asset/(liability),(in thousands),",collar,natural gas,,,,,,,
6,APA20080229,,",production period,,",12261000,",total volumes,,, Bbl",$63.18/76.47,"weighted average,floor/ceiling,,","$(217,201","fair value,asset/(liability),(in thousands),",collar,oil,,,,,,,
7,APA20080229,2009,",production period,,",14600000,",total volumes,,, MMBtu",$7.06/9.91,"weighted average,floor/ceiling,,","$(4,418","fair value,asset/(liability),(in thousands),",collar,natural gas,,,,,,,
8,APA20080229,,",production period,,",29200000,",total volumes,,, GJ",$6.58/10.22,"weighted average,floor/ceiling,,",$6865,"fair value,asset/(liability),(in thousands),",collar,natural gas,,,,,,,
9,APA20080229,,",production period,,",7861000,",total volumes,,, Bbl",$59.38/72.65,"weighted average,floor/ceiling,,","$(131,727","fair value,asset/(liability),(in thousands),",collar,oil,,,,,,,
10,APA20080229,2010,",production period,,",1350000,",total volumes,,, MMBtu",$7.17/10.58,"weighted average,floor/ceiling,,",$(612,"fair value,asset/(liability),(in thousands),",collar,natural gas,,,,,,,
11,APA20080229,,",production period,,",5464000,",total volumes,,, Bbl",$61.15/75.10,"weighted average,floor/ceiling,,","$(72,270","fair value,asset/(liability),(in thousands),",collar,oil,,,,,,,
12,APA20080229,2011,",production period,,",2917000,",total volumes,,, Bbl",$63.12/76.42,"weighted average,floor/ceiling,,","$(33,509","fair value,asset/(liability),(in thousands),",collar,oil,,,,,,,
13,APA20080229,2012,",production period,,",910000,",total volumes,,, Bbl",$64.00/76.55,"weighted average,floor/ceiling,,","$(9,939","fair value,asset/(liability),(in thousands),",collar,oil,,,,,,,
5,APA20080229,2008,",,production period,,",4574500,",,total volumes,,, Bbl",$70.05,"weighted,average,fixed-price,,","$(103,223",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
6,APA20080229,2009,",,production period,,",549500,",,total volumes,,, Bbl",$74.32,"weighted,average,fixed-price,,","$(6,817",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
7,APA20080229,2010,",,production period,,",2182250,",,total volumes,,, Bbl",$71.98,"weighted,average,fixed-price,,","$(28,836",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
8,APA20080229,2011,",,production period,,",3436250,",,total volumes,,, Bbl",$71.79,"weighted,average,fixed-price,,","$(43,775",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
9,APA20080229,2012,",,production period,,",2926000,",,total volumes,,, Bbl",$71.34,"weighted,average,fixed-price,,","$(36,609",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
10,APA20080229,2013,",,production period,,",1086000,",,total volumes,,, Bbl",$71.34,"weighted,average,fixed-price,,","$(13,292",",fair value,asset/(liability),(in thousands),",swap,oil,,,,,,,
5,APA20090302,2009,",,,production period,",368,"fixed-price swaps,,,mbbls,",$67.95,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
6,APA20090302,2010,",,,production period,",2018,"fixed-price swaps,,,mbbls,",70.87,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
7,APA20090302,2011,",,,production period,",3285,"fixed-price swaps,,,mbbls,",71.16,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
8,APA20090302,2012,",,,production period,",2926,"fixed-price swaps,,,mbbls,",71.34,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
9,APA20090302,2013,",,,production period,",1086,"fixed-price swaps,,,mbbls,",71.34,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
5,APA20090302,2009,",,,production period,",9321,"collars,,,mbbls,",$63.39,"collars,weighted,average,floor price(1),",$80.14,"collars,weighted,average,ceiling price(1),","collar, call",oil,,"call options,weighted,average,strike price(1),",,,,"call options,,,mbbls,",
6,APA20090302,2010,",,,production period,",6016,"collars,,,mbbls,",62.11,"collars,weighted,average,floor price(1),",77.44,"collars,weighted,average,ceiling price(1),","collar, call",oil,129.50,"call options,weighted,average,strike price(1),",,,368,"call options,,,mbbls,",
7,APA20090302,2011,",,,production period,",4377,"collars,,,mbbls,",65.83,"collars,weighted,average,floor price(1),",84.41,"collars,weighted,average,ceiling price(1),","collar, call",oil,134.17,"call options,weighted,average,strike price(1),",,,1095,"call options,,,mbbls,",
8,APA20090302,2012,",,,production period,",1456,"collars,,,mbbls,",66.88,"collars,weighted,average,floor price(1),",85.52,"collars,weighted,average,ceiling price(1),","collar, call",oil,138.00,"call options,weighted,average,strike price(1),",,,364,"call options,,,mbbls,",
5,APA20090302,2009,",,,production period,",18250,"collars,,mmbtu,(in 000 s),",$7.35,"collars,weighted,average,floor price(1),",$10.19,"collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,"collars,,gj,(in 000 s),",
6,APA20090302,2009,",,,production period,",,"collars,,mmbtu,(in 000 s),",5.31,"collars,weighted,average,floor price(1),",8.25,"collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,29200,"collars,,gj,(in 000 s),",
7,APA20090302,2010,",,,production period,",1350,"collars,,mmbtu,(in 000 s),",7.17,"collars,weighted,average,floor price(1),",10.58,"collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,"collars,,gj,(in 000 s),",
5,APA20100226,2010,",,,production period,",2383,"fixed-price swaps,,,mbbls,",$68.71,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
6,APA20100226,2011,",,,production period,",3650,"fixed-price swaps,,,mbbls,",70.12,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
7,APA20100226,2012,",,,production period,",3292,"fixed-price swaps,,,mbbls,",70.99,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
8,APA20100226,2013,",,,production period,",1451,"fixed-price swaps,,,mbbls,",72.01,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
9,APA20100226,2014,",,,production period,",76,"fixed-price swaps,,,mbbls,",74.50,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
5,APA20100226,2010,",,,production period,",10396,"collars,,,mbbls,",$65.01,"collars,weighted,average,floor price(1),",$80.84,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
6,APA20100226,2011,",,,production period,",6202,"collars,,,mbbls,",66.24,"collars,weighted,average,floor price(1),",87.04,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
7,APA20100226,2012,",,,production period,",2554,"collars,,,mbbls,",66.07,"collars,weighted,average,floor price(1),",89.13,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
6,APA20100226,2010,",,,,production period,",82125,"fixed-price swaps,,,mmbtu,(in 000 s),",$5.81,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
7,APA20100226,2010,",,,,production period,",,"fixed-price swaps,,,mmbtu,(in 000 s),",5.37,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,54750,"fixed-price swaps,,,gj,(in 000 s),",
8,APA20100226,2011,",,,,production period,",10038,"fixed-price swaps,,,mmbtu,(in 000 s),",6.61,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
9,APA20100226,2011,",,,,production period,",,"fixed-price swaps,,,mmbtu,(in 000 s),",6.75,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,23725,"fixed-price swaps,,,gj,(in 000 s),",
10,APA20100226,2012,",,,,production period,",2745,"fixed-price swaps,,,mmbtu,(in 000 s),",6.73,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
11,APA20100226,2012,",,,,production period,",,"fixed-price swaps,,,mmbtu,(in 000 s),",6.95,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,29280,"fixed-price swaps,,,gj,(in 000 s),",
12,APA20100226,2013,",,,,production period,",1825,"fixed-price swaps,,,mmbtu,(in 000 s),",7.05,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
13,APA20100226,2014,",,,,production period,",755,"fixed-price swaps,,,mmbtu,(in 000 s),",7.23,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
6,APA20100226,2010,",,,,production period,",30550,",collars,,mmbtu,(in 000 s),",$5.48,",collars,weighted,average,floor price(1),",$7.07,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",
8,APA20100226,2011,",,,,production period,",9125,",collars,,mmbtu,(in 000 s),",5.00,",collars,weighted,average,floor price(1),",8.85,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",2010
9,APA20100226,2011,",,,,production period,",,",collars,,mmbtu,(in 000 s),",6.50,",collars,weighted,average,floor price(1),",7.10,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,3650,",collars,,gj,(in 000 s),",2010
10,APA20100226,2012,",,,,production period,",10980,",collars,,mmbtu,(in 000 s),",5.75,",collars,weighted,average,floor price(1),",8.43,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",2010
11,APA20100226,2012,",,,,production period,",,",collars,,mmbtu,(in 000 s),",6.50,",collars,weighted,average,floor price(1),",7.27,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,7320,",collars,,gj,(in 000 s),",2010
4,APA20100226,2010,production period,41975,mmbtu,,,,,@,natural gas,,,,,,,
5,APA20110228,2011,",,,production period,",5628,"fixed-price swaps,,,mbbls,",$73.36,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
6,APA20110228,2012,",,,production period,",3786,"fixed-price swaps,,,mbbls,",72.26,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
7,APA20110228,2013,",,,production period,",1860,"fixed-price swaps,,,mbbls,",74.38,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
8,APA20110228,2014,",,,production period,",76,"fixed-price swaps,,,mbbls,",74.50,"fixed-price swaps,weighted,average,fixed price(1),",,,swap,oil,,,,,,,
5,APA20110228,2011,",,,production period,",30110,"collars,,,mbbls,",$69.13,"collars,weighted,average,floor price(1),",$96.59,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
6,APA20110228,2012,",,,production period,",9142,"collars,,,mbbls,",69.30,"collars,weighted,average,floor price(1),",98.11,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
7,APA20110228,2013,",,,production period,",2416,"collars,,,mbbls,",78.02,"collars,weighted,average,floor price(1),",103.06,",weighted,average,ceiling price(1),",collar,oil,,,,,,,
6,APA20110228,2011,",,,,production period,",75927,"fixed-price swaps,,,mmbtu,(in 000 s),",$6.00,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
7,APA20110228,2011,",,,,production period,",,"fixed-price swaps,,,mmbtu,(in 000 s),",C$6.26,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,51100,"fixed-price swaps,,,gj,(in 000 s),",
8,APA20110228,2012,",,,,production period,",41554,"fixed-price swaps,,,mmbtu,(in 000 s),",$6.30,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
9,APA20110228,2012,",,,,production period,",,"fixed-price swaps,,,mmbtu,(in 000 s),",C$6.61,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,43920,"fixed-price swaps,,,gj,(in 000 s),",
10,APA20110228,2013,",,,,production period,",7665,"fixed-price swaps,,,mmbtu,(in 000 s),",$6.83,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
11,APA20110228,2014,",,,,production period,",755,"fixed-price swaps,,,mmbtu,(in 000 s),",$7.23,"fixed-price swaps,weighted,average,fixed,price(1),",,,swap,natural gas,,,,,,"fixed-price swaps,,,gj,(in 000 s),",
6,APA20110228,2011,",,,,production period,",9125,",collars,,mmbtu,(in 000 s),",$5.00,",collars,weighted,average,floor price(1),",$8.85,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",
7,APA20110228,2011,",,,,production period,",,",collars,,mmbtu,(in 000 s),",C$6.50,",collars,weighted,average,floor price(1),",C$7.10,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,3650,",collars,,gj,(in 000 s),",
8,APA20110228,2012,",,,,production period,",21960,",collars,,mmbtu,(in 000 s),",$5.54,",collars,weighted,average,floor price(1),",$7.30,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",
9,APA20110228,2012,",,,,production period,",,",collars,,mmbtu,(in 000 s),",C$6.50,",collars,weighted,average,floor price(1),",C$7.27,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,7320,",collars,,gj,(in 000 s),",
10,APA20110228,2013,",,,,production period,",6825,",collars,,mmbtu,(in 000 s),",$5.35,",collars,weighted,average,floor price(1),",$6.67,",collars,weighted,average,ceiling price(1),",collar,natural gas,,,,,,",collars,,gj,(in 000 s),",
2,APA20120229,2012,",production period",4110,"fixed-price swaps,mbbls",$73.40,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,oil,,,,,,,
3,APA20120229,2013,",production period",1972,"fixed-price swaps,mbbls",74.29,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,oil,,,,,,,
4,APA20120229,2014,",production period",76,"fixed-price swaps,mbbls",74.50,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,oil,,,,,,,
2,APA20120229,2012,",production period",12628,"collars,mbbls",$76.42,"collars,weightedaveragefloor price(1)",$101.06,"collars,weightedaverageceiling price(1)",collar,oil,,,,,,,
3,APA20120229,2013,",production period",4350,"collars,mbbls",82.17,"collars,weightedaveragefloor price(1)",108.33,"collars,weightedaverageceiling price(1)",collar,oil,,,,,,,
2,APA20120229,2012,",production period",48349,"fixed-price swaps,mmbtu(in 000 s)",$6.22,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,,"fixed-price swaps,gj(in 000 s)",
3,APA20120229,2012,",production period",,"fixed-price swaps,mmbtu(in 000 s)",C$6.61,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,43920,"fixed-price swaps,gj(in 000 s)",
4,APA20120229,2013,",production period",10095,"fixed-price swaps,mmbtu(in 000 s)",$6.74,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,,"fixed-price swaps,gj(in 000 s)",
5,APA20120229,2014,",production period",1295,"fixed-price swaps,mmbtu(in 000 s)",$6.72,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,,"fixed-price swaps,gj(in 000 s)",
2,APA20120229,2012,",production period",21960,"collars,mmbtu(in 000 s)",$5.54,"collars,weightedaveragefloor price(1)",$7.30,"collars,weightedaverageceiling price(1)",collar,natural gas,,,,,,"collars,gj(in 000 s)",
3,APA20120229,2012,",production period",,"collars,mmbtu(in 000 s)",C$6.50,"collars,weightedaveragefloor price(1)",C$7.27,"collars,weightedaverageceiling price(1)",collar,natural gas,,,,,7320,"collars,gj(in 000 s)",
4,APA20120229,2013,",production period",6825,"collars,mmbtu(in 000 s)",$5.35,"collars,weightedaveragefloor price(1)",$6.67,"collars,weightedaverageceiling price(1)",collar,natural gas,,,,,,"collars,gj(in 000 s)",
2,APA20130301,2013,",production period",40292,"fixed-price swaps,mbbls(2)",$97.31,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,oil,,,,,,,
3,APA20130301,2014,",production period",76,"fixed-price swaps,mbbls(2)",74.50,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,oil,,,,,,,
2,APA20130301,2013,",production period",5701,"collars,mbbls(2)",$82.84,"collars,weightedaveragefloor price(1)",$111.63,"collars,weightedaverageceiling price(1)",collar,oil,,,,,,,
2,APA20130301,2013,",production period",10095,"fixed-price swaps,mmbtu(in 000 s)",$6.74,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,,,
3,APA20130301,2014,",production period",1295,"fixed-price swaps,mmbtu(in 000 s)",$6.72,"fixed-price swaps,weightedaveragefixed price(1)",,,swap,natural gas,,,,,,,
2,APA20130301,2013,",production period",6825,"collars,mmbtu(in 000 s)",$5.35,"collars,weightedaveragefloor price(1)",$6.67,"collars,weightedaverageceiling price(1)",collar,natural gas,,,,,,,
2,APA20140228,2014,",production period",22889,"fixed-price swaps,mbbls",$90.77,"fixed-price swaps,weightedaveragefixed price",,,swap,oil,,,,,,,
3,APA20140228,2014,",production period",22812,"fixed-price swaps,mbbls",100.05,"fixed-price swaps,weightedaveragefixed price",,,swap,oil,,,,,,,
2,APA20140228,2014,",production period",1295,"fixed-price swaps,mmbtu(in 000 s)",$6.72,"fixed-price swaps,weightedaveragefixed price",,,swap,natural gas,,,,,,,
